dataset_id,year,period,timepoints,regional,regional_richness,local,local_richness
alignier_2018,1994,first,1,"Zone Atelier Armorique, France",308,all_sites,28.31
alignier_2018,2015,last,2,"Zone Atelier Armorique, France",284,all_sites,31.89
becker-scarpitta_2017a,1976,first,1,"Brotonne forest, France",18,all_subplots,3.3
becker-scarpitta_2017a,2012,last,2,"Brotonne forest, France",53,all_subplots,6.8
becker-scarpitta_2017b,1976,first,1,"Brotonne forest, France",87,all_plots,15.8
becker-scarpitta_2017b,2009,last,2,"Brotonne forest, France",62,all_plots,9.8
hassall_2012a,1995,first,1,"Cheshire, England",149,all_sites,23.5
hassall_2012a,2006,last,2,"Cheshire, England",142,all_sites,22.3
hassall_2012b,1995,first,1,"Cheshire, England",181,all_sites,29.5
hassall_2012b,2006,last,2,"Cheshire, England",201,all_sites,39.8
hibit_2019,1970,first,1,Hawaii,21,Plot 3,4.35468340507591
hibit_2019,2017,last,2,Hawaii,21,Plot 3,5.99661598626728
hibit_2019,1970,first,1,Hawaii,21,Plot 4,4.86080048092173
hibit_2019,2017,last,2,Hawaii,21,Plot 4,9
hibit_2019,1970,first,1,Hawaii,21,Plot 5,3.6305353825288
hibit_2019,2017,last,2,Hawaii,21,Plot 5,4.86605715647258
hibit_2019,1970,first,1,Hawaii,21,Plot 6,8.21170384078612
hibit_2019,2017,last,2,Hawaii,21,Plot 6,10.2475360460969
hibit_2019,1970,first,1,Hawaii,21,Plot 7,6.26237966176381
hibit_2019,2017,last,2,Hawaii,21,Plot 7,7.16532617878451
kolari_2021,1998,first,1,"Elimyssalo Nature Reserve, Finland",110,high pH,11.6
kolari_2021,1998,first,1,"Elimyssalo Nature Reserve, Finland",110,high pH,11.6
kolari_2021,2018,last,2,"Elimyssalo Nature Reserve, Finland",112,high pH,15.8
kolari_2021,2018,last,2,"Elimyssalo Nature Reserve, Finland",112,high pH,15.8
kolari_2021,1998,first,1,"Elimyssalo Nature Reserve, Finland",110,intermediate pH,11.8
kolari_2021,1998,first,1,"Elimyssalo Nature Reserve, Finland",110,intermediate pH,11.8
kolari_2021,2018,last,2,"Elimyssalo Nature Reserve, Finland",112,intermediate pH,13.2
kolari_2021,2018,last,2,"Elimyssalo Nature Reserve, Finland",112,intermediate pH,13.2
kolari_2021,1998,first,1,"Elimyssalo Nature Reserve, Finland",110,low pH,9.6
kolari_2021,1998,first,1,"Elimyssalo Nature Reserve, Finland",110,low pH,9.6
kolari_2021,2018,last,2,"Elimyssalo Nature Reserve, Finland",112,low pH,11.7
kolari_2021,2018,last,2,"Elimyssalo Nature Reserve, Finland",112,low pH,11.7
kolari_2021,1998,first,1,"Elimyssalo Nature Reserve, Finland",110,very low pH,10.1
kolari_2021,1998,first,1,"Elimyssalo Nature Reserve, Finland",110,very low pH,10.1
kolari_2021,2018,last,2,"Elimyssalo Nature Reserve, Finland",112,very low pH,11.5
kolari_2021,2018,last,2,"Elimyssalo Nature Reserve, Finland",112,very low pH,11.5
larsen_2018a,1985,first,1,Llyn Brianne,56,CI1,23
larsen_2018a,1986,intermediate,2,Llyn Brianne,50,CI1,25
larsen_2018a,1987,intermediate,3,Llyn Brianne,43,CI1,20
larsen_2018a,1988,intermediate,4,Llyn Brianne,46,CI1,22
larsen_2018a,1989,intermediate,5,Llyn Brianne,41,CI1,27
larsen_2018a,1990,intermediate,6,Llyn Brianne,53,CI1,23
