old_richness,new_richness
1,8.48
1,10.646
1,12.578
1,17.635
1,18.885
0.962,16.499
0.962,14.737
0.908,13.544
0.962,12.464
0.908,10.76
0.801,9.624
0.908,7.692
0.854,5.703
1.985,18.714
2.038,17.635
1.985,15.874
2.092,14.624
2.038,13.601
1.985,12.805
1.877,11.442
1.985,8.771
2.038,6.726
1.985,4.794
3.061,6.612
3.007,10.703
3.007,11.669
3.007,12.521
3.007,13.658
3.061,14.624
3.061,15.817
3.061,19.68
3.007,21.839
4.191,28.658
4.137,24.68
4.083,23.658
4.137,20.703
4.137,17.578
4.137,15.646
4.137,14.737
4.137,13.658
4.03,12.635
4.03,10.646
4.191,9.567
4.998,23.771
4.998,19.68
5.052,18.658
5.052,17.635
5.052,16.499
5.052,15.817
5.052,14.567
5.025,13.658
5.025,12.692
5.025,10.646
6.021,9.624
6.048,11.527
6.048,12.692
6.075,14.624
6.021,16.527
6.048,17.663
5.967,20.646
5.994,23.714
6.021,26.783
6.936,26.697
6.963,25.561
6.936,20.703
6.963,19.652
6.936,18.8
6.99,17.635
6.99,16.641
6.963,15.76
6.963,14.624
6.936,13.572
7.958,13.629
7.985,14.709
8.012,15.817
7.985,17.692
8.066,20.732
9.008,32.663
17.941,32.635
9.035,25.618
8.981,24.709
10.138,21.783
10.003,19.766
10.03,18.686
8.981,17.663
9.008,14.766
11.053,14.624
10.999,18.572
10.972,20.732
10.999,21.783
13.017,19.737
14.013,18.658
8.039,7.777
20.417,30.135
