extracted from hibit_2029 article table 4 with tabula,,,,,,,,,,,,,,
species,1970 Plot 1,2017 Plot 1,1970 Plot 2,2017 Plot 2,1970 Plot 3,2017 Plot 3,1970 Plot 4,2017 Plot 4,1970 Plot 5,2017 Plot 5,1970 Plot 6,2017 Plot 6,1970 Plot 7,2017 Plot 7
Sapindus oahuensis,74800,4400,,,,,3267,325,16324,6825,467,50,,
Diospyros sandwicensis,,,,,,,917,1100,,,14684,2225,8060,3075
Psydrax odorata,,,5150,475,275,100,650,200,,,2633,675,8040,250
Erythrina sandwicensis,,,0,25,2700,175,,,,,,,,
Polyscias sandwicensis,,,,,,,,,25,100,200,25,,
Nestegis sandwicensis,,,,,,,100,0,,,833,100,90,125
Diospyros hillebrandii,,,,,,,,,,,50,525,10,0
Dodonaea viscosa,,,25,125,,,17,0,220,0,,,,
Psychotria hathewayi,,,,,,,,,,,,,230,50
Colubrina oppositifolia,,,,,,,,,,,467,25,,
Leucaena leucocephala,4600,2225,770075,225,475,1775,43468,125,4133,1100,17,0,,
Schinus terebinthifolius,,,2250,0,23800,475,550,325,8,0,33,325,180,1425
Grevillea robusta,,,0,125,0,225,0,75,,,,,40,25
Syzygium cumini,,,400,0,450,50,167,325,283,75,217,600,360,25
Psidium cattleianum,,,175,300,,,,,,,550,1100,930,2150
Aleurites molucanna,,,,,,,0,75,17,50,,,40,0
Fraxinus udheia,,,,,,,,,,,0,825,0,275
Spathodea campanulataa,,,,,,,,,0,25,,,,
Broussonetia papyriferaa,,,,,,,,,,,0,350,,
Casuarina equisetifoliaa,,,0,150,,,,,,,,,,
Psidium guajava,,,500,0,,,0,75,,,200,0,10,0
Ficus microcarpa,,,,,,,,,0,50,,,,
Carica papaya,0,25,,,,,,,,,,,,
