copy pasted from supplementary .doc document,,,,,,,,,,
species,1988,2010,local,,,,,,,
"Battus ingenuus (Dyar, 1907)",4,0,low altitude,,,,,,,
"Battus laodamas copanae (Reakirt, 1863)",1,43,low altitude,,,,,,,
"Battus lycidas (Cramer, 1777)",1,0,low altitude,,,,,,,
"Batus polydamas polydamas (Linnaeus, 1758)",1,0,low altitude,,,,,,,
"Heraclides anchisiades idaeus (Fabricius, 1793)",0,5,low altitude,,,,,,,
"Heraclides androgeus epidaurus (Godman & Salvin, 1890)",2,3,low altitude,,,,,,,
"Heraclides astyalus pallas (Gray, [1853])",0,4,low altitude,,,,,,,
"Heraclides cresphontes (Cramer, 1777)",0,74,low altitude,,,,,,,
"Heraclides rogeri  pharnaces (Doubleday, 1846)",1,1,low altitude,,,,,,,
"Heraclides thoas autocles Rothschild & Jordan, 1906 ",3,0,low altitude,,,,,,,
"Heraclides torquatus tolus (Godman & Salvin, 1890)",1,0,low altitude,,,,,,,
"Mimoides ilus branchus (Doubleday, 1846)",1,0,low altitude,,,,,,,
"Mimoides phaon phaon (Doubleday, 1846)",1,0,low altitude,,,,,,,
"Papilio polyxenes asterius (Stoll, 1782)",1,1,low altitude,,,,,,,
"Parides erithalion polyzelus (C. Felder & R. Felder, 1865)",2,6,low altitude,,,,,,,
"Parides eurimedes mylotes (H.W. Bates, 1861)",12,6,low altitude,,,,,,,
"Parides iphidamas iphidamas (Fabricius, 1793)",7,5,low altitude,,,,,,,
"Parides panares panares (Gray, [1853])",12,5,low altitude,,,,,,,
"Parides sesotris zestos (Gray, [1853])",3,4,low altitude,,,,,,,
"Protographium epidaus epidaus (Doubleday, 1846)",1,2,low altitude,,,,,,,
"Protographium philolaus philolaus (Boisduval, 1836)",0,1,low altitude,,,,,,,
"Pterourus menatius victorinus (Doubleday, 1844)",0,2,low altitude,,,,,,,
"Abaeis nicippe (Cramer, 1779)",31,0,low altitude,,,,,,,
"Anteos clorinde (Godart, [1824])",0,122,low altitude,,,,,,,
"Anteos maerula (Fabricius, 1775)",2,55,low altitude,,,,,,,
"Aphrisa statira statira (Cramer, 1777)",28,63,low altitude,,,,,,,
"Archonias brassolis aproximata (Butler, 1873)",1,2,low altitude,,,,,,,
"Ascia monuste monuste (Linnaeus, 1764)",4,68,low altitude,,,,,,,
"Catasticta flisa flisa   (Herrich-Schäffer, [1858])",122,0,low altitude,,,,,,,
"Dismorphia amphione isolda Llorente, 1984",16,7,low altitude,,,,,,,
"Dismorphia teucharila fortunata  (Lucas, 1854)",16,2,low altitude,,,,,,,
"Enantia albania albania  (H.W. Bates, 1864)",2,1,low altitude,,,,,,,
"Enantia lina marion (Godman & Salvin, 1889)",3,0,low altitude,,,,,,,
"Eurema albula celata   (R. Felder, 1869)",55,80,low altitude,,,,,,,
"Eurema arbela boisduvaliana (C. Felder & R. Felder, 1865)",3,14,low altitude,,,,,,,
"Eurema daira eugenia (Wallengren, 1860)",25,33,low altitude,,,,,,,
"Eurema xantochlora xantochlora (Kollar, 1850)",31,0,low altitude,,,,,,,
"Ganyra josephina josepha (Salvin & Godman, 1868)",0,5,low altitude,,,,,,,
"Glutophrissa drusilla tenuis  (Lamas, 1981)",3,13,low altitude,,,,,,,
"Hesperocharis costarricenses pasion (Reakirt, [1867])",3,0,low altitude,,,,,,,
"Itaballia pandiosa kicaha  (Reakirt, 1863)",1,0,low altitude,,,,,,,
"Pereute charops charops (Boisduval, 1836)",1,0,low altitude,,,,,,,
"Phoebis agarithe agarithe (Boisduval, 1836)",5,56,low altitude,,,,,,,
"Phoebis argante  (Brown, 1929)",12,45,low altitude,,,,,,,
"Phoebis philea philea (Linnaeus, 1763)",22,91,low altitude,,,,,,,
"Phoebis sennae marcellina (Cramer, 1777)",28,143,low altitude,,,,,,,
