dataset_id,regional,local,year,period,timepoints,regional_richness,local_richness
kolari_2021,"Elimyssalo Nature Reserve, Finland",high pH,1998,historical,T1,110,11.6
kolari_2021,"Elimyssalo Nature Reserve, Finland",high pH,2018,recent,T2,112,15.8
kolari_2021,"Elimyssalo Nature Reserve, Finland",intermediate pH,1998,historical,T1,110,11.8
kolari_2021,"Elimyssalo Nature Reserve, Finland",intermediate pH,2018,recent,T2,112,13.2
kolari_2021,"Elimyssalo Nature Reserve, Finland",low pH,1998,historical,T1,110,9.6
kolari_2021,"Elimyssalo Nature Reserve, Finland",low pH,2018,recent,T2,112,11.7
kolari_2021,"Elimyssalo Nature Reserve, Finland",very low pH,1998,historical,T1,110,10.1
kolari_2021,"Elimyssalo Nature Reserve, Finland",very low pH,2018,recent,T2,112,11.5
kolari_2021,"Elimyssalo Nature Reserve, Finland",high pH,1998,historical,T1,110,11.6
kolari_2021,"Elimyssalo Nature Reserve, Finland",high pH,2018,recent,T2,112,15.8
kolari_2021,"Elimyssalo Nature Reserve, Finland",intermediate pH,1998,historical,T1,110,11.8
kolari_2021,"Elimyssalo Nature Reserve, Finland",intermediate pH,2018,recent,T2,112,13.2
kolari_2021,"Elimyssalo Nature Reserve, Finland",low pH,1998,historical,T1,110,9.6
kolari_2021,"Elimyssalo Nature Reserve, Finland",low pH,2018,recent,T2,112,11.7
kolari_2021,"Elimyssalo Nature Reserve, Finland",very low pH,1998,historical,T1,110,10.1
kolari_2021,"Elimyssalo Nature Reserve, Finland",very low pH,2018,recent,T2,112,11.5
