year,regional_richness,local,local_richness,dataset_id,regional,timepoints
1985,56,CI1,23,larsen_2018a,Llyn Brianne,T1
1986,50,CI1,25,larsen_2018a,Llyn Brianne,T2
1987,43,CI1,20,larsen_2018a,Llyn Brianne,T3
1988,46,CI1,22,larsen_2018a,Llyn Brianne,T4
1989,41,CI1,27,larsen_2018a,Llyn Brianne,T5
1990,53,CI1,23,larsen_2018a,Llyn Brianne,T6
1992,57,CI1,16,larsen_2018a,Llyn Brianne,T7
1993,36,CI1,18,larsen_2018a,Llyn Brianne,T8
1995,52,CI1,23,larsen_2018a,Llyn Brianne,T9
1996,52,CI1,17,larsen_2018a,Llyn Brianne,T10
1997,53,CI1,18,larsen_2018a,Llyn Brianne,T11
1998,55,CI1,18,larsen_2018a,Llyn Brianne,T12
1999,53,CI1,21,larsen_2018a,Llyn Brianne,T13
2000,58,CI1,21,larsen_2018a,Llyn Brianne,T14
2001,54,CI1,16,larsen_2018a,Llyn Brianne,T15
2002,46,CI1,17,larsen_2018a,Llyn Brianne,T16
2003,43,CI1,19,larsen_2018a,Llyn Brianne,T17
2004,41,CI1,20,larsen_2018a,Llyn Brianne,T18
2005,46,CI1,22,larsen_2018a,Llyn Brianne,T19
2006,44,CI1,19,larsen_2018a,Llyn Brianne,T20
2007,51,CI1,23,larsen_2018a,Llyn Brianne,T21
2010,48,CI1,29,larsen_2018a,Llyn Brianne,T22
2012,57,CI1,20,larsen_2018a,Llyn Brianne,T23
2013,48,CI1,29,larsen_2018a,Llyn Brianne,T24
1985,56,CI2,18,larsen_2018a,Llyn Brianne,T1
1986,50,CI2,15,larsen_2018a,Llyn Brianne,T2
1987,43,CI2,18,larsen_2018a,Llyn Brianne,T3
1988,46,CI2,20,larsen_2018a,Llyn Brianne,T4
1989,41,CI2,22,larsen_2018a,Llyn Brianne,T5
1990,53,CI2,21,larsen_2018a,Llyn Brianne,T6
1992,57,CI2,16,larsen_2018a,Llyn Brianne,T7
1993,36,CI2,12,larsen_2018a,Llyn Brianne,T8
1995,52,CI2,22,larsen_2018a,Llyn Brianne,T9
1996,52,CI2,15,larsen_2018a,Llyn Brianne,T10
1997,53,CI2,24,larsen_2018a,Llyn Brianne,T11
1998,55,CI2,17,larsen_2018a,Llyn Brianne,T12
1999,53,CI2,15,larsen_2018a,Llyn Brianne,T13
2000,58,CI2,17,larsen_2018a,Llyn Brianne,T14
2001,54,CI2,14,larsen_2018a,Llyn Brianne,T15
2002,46,CI2,14,larsen_2018a,Llyn Brianne,T16
2003,43,CI2,13,larsen_2018a,Llyn Brianne,T17
2004,41,CI2,14,larsen_2018a,Llyn Brianne,T18
2005,46,CI2,14,larsen_2018a,Llyn Brianne,T19
2006,44,CI2,13,larsen_2018a,Llyn Brianne,T20
2007,51,CI2,12,larsen_2018a,Llyn Brianne,T21
2010,48,CI2,12,larsen_2018a,Llyn Brianne,T22
2012,57,CI2,18,larsen_2018a,Llyn Brianne,T23
2013,48,CI2,14,larsen_2018a,Llyn Brianne,T24
1985,56,CI4,19,larsen_2018a,Llyn Brianne,T1
1986,50,CI4,17,larsen_2018a,Llyn Brianne,T2
1987,43,CI4,19,larsen_2018a,Llyn Brianne,T3
1988,46,CI4,16,larsen_2018a,Llyn Brianne,T4
1989,41,CI4,18,larsen_2018a,Llyn Brianne,T5
1990,53,CI4,26,larsen_2018a,Llyn Brianne,T6
1992,57,CI4,16,larsen_2018a,Llyn Brianne,T7
1993,36,CI4,9,larsen_2018a,Llyn Brianne,T8
1995,52,CI4,10,larsen_2018a,Llyn Brianne,T9
1996,52,CI4,20,larsen_2018a,Llyn Brianne,T10
1997,53,CI4,23,larsen_2018a,Llyn Brianne,T11
1998,55,CI4,16,larsen_2018a,Llyn Brianne,T12
1999,53,CI4,17,larsen_2018a,Llyn Brianne,T13
2000,58,CI4,18,larsen_2018a,Llyn Brianne,T14
2001,54,CI4,13,larsen_2018a,Llyn Brianne,T15
2002,46,CI4,17,larsen_2018a,Llyn Brianne,T16
2003,43,CI4,19,larsen_2018a,Llyn Brianne,T17
2004,41,CI4,16,larsen_2018a,Llyn Brianne,T18
2005,46,CI4,16,larsen_2018a,Llyn Brianne,T19
2006,44,CI4,9,larsen_2018a,Llyn Brianne,T20
2007,51,CI4,17,larsen_2018a,Llyn Brianne,T21
2010,48,CI4,15,larsen_2018a,Llyn Brianne,T22
2012,57,CI4,26,larsen_2018a,Llyn Brianne,T23
2013,48,CI4,15,larsen_2018a,Llyn Brianne,T24
