dataset_id,regional,local,year,taxon,realm,latitude,longitude,effort,study_type,data_pooled_by_authors,alpha_grain,alpha_grain_unit,alpha_grain_type,alpha_grain_comment,gamma_sum_grains,gamma_sum_grains_unit,gamma_sum_grains_type,gamma_sum_grains_comment,gamma_bounding_box,gamma_bounding_box_unit,gamma_bounding_box_type,gamma_bounding_box_comment,comment
larsen_2018a,Llyn Brianne,CI1,1985,Invertebrates,Freshwater,52°80 N, 3°45 0 W,10,ecological_sampling,FALSE,586.5,cm2,sample,hand net dimension given by the authors,0.5865,m2,sample,summed area of samples,300,km2,catchement,area of the Llyn Brianne watershed,"Extracted from data Larsen, S., Chase, J.M., Durance, I. and Ormerod, S.J. (2018), Lifting the veil: richness measurements fail to detect systematic biodiversity change over three decades. Ecology, 99: 1316-1326. https://doi.org/10.1002/ecy.2213. Here, composition of 10 streams of the Llyn Brianne watershed were used."
larsen_2018a,Llyn Brianne,CI1,1986,Invertebrates,Freshwater,52°80 N, 3°45 0 W,10,ecological_sampling,FALSE,586.5,cm2,sample,hand net dimension given by the authors,0.5865,m2,sample,summed area of samples,300,km2,catchement,area of the Llyn Brianne watershed,"Extracted from data Larsen, S., Chase, J.M., Durance, I. and Ormerod, S.J. (2018), Lifting the veil: richness measurements fail to detect systematic biodiversity change over three decades. Ecology, 99: 1316-1326. https://doi.org/10.1002/ecy.2213. Here, composition of 10 streams of the Llyn Brianne watershed were used."
larsen_2018a,Llyn Brianne,CI1,1987,Invertebrates,Freshwater,52°80 N, 3°45 0 W,10,ecological_sampling,FALSE,586.5,cm2,sample,hand net dimension given by the authors,0.5865,m2,sample,summed area of samples,300,km2,catchement,area of the Llyn Brianne watershed,"Extracted from data Larsen, S., Chase, J.M., Durance, I. and Ormerod, S.J. (2018), Lifting the veil: richness measurements fail to detect systematic biodiversity change over three decades. Ecology, 99: 1316-1326. https://doi.org/10.1002/ecy.2213. Here, composition of 10 streams of the Llyn Brianne watershed were used."
larsen_2018a,Llyn Brianne,CI1,1988,Invertebrates,Freshwater,52°80 N, 3°45 0 W,10,ecological_sampling,FALSE,586.5,cm2,sample,hand net dimension given by the authors,0.5865,m2,sample,summed area of samples,300,km2,catchement,area of the Llyn Brianne watershed,"Extracted from data Larsen, S., Chase, J.M., Durance, I. and Ormerod, S.J. (2018), Lifting the veil: richness measurements fail to detect systematic biodiversity change over three decades. Ecology, 99: 1316-1326. https://doi.org/10.1002/ecy.2213. Here, composition of 10 streams of the Llyn Brianne watershed were used."
larsen_2018a,Llyn Brianne,CI1,1989,Invertebrates,Freshwater,52°80 N, 3°45 0 W,10,ecological_sampling,FALSE,586.5,cm2,sample,hand net dimension given by the authors,0.5865,m2,sample,summed area of samples,300,km2,catchement,area of the Llyn Brianne watershed,"Extracted from data Larsen, S., Chase, J.M., Durance, I. and Ormerod, S.J. (2018), Lifting the veil: richness measurements fail to detect systematic biodiversity change over three decades. Ecology, 99: 1316-1326. https://doi.org/10.1002/ecy.2213. Here, composition of 10 streams of the Llyn Brianne watershed were used."
larsen_2018a,Llyn Brianne,CI1,1990,Invertebrates,Freshwater,52°80 N, 3°45 0 W,10,ecological_sampling,FALSE,586.5,cm2,sample,hand net dimension given by the authors,0.5865,m2,sample,summed area of samples,300,km2,catchement,area of the Llyn Brianne watershed,"Extracted from data Larsen, S., Chase, J.M., Durance, I. and Ormerod, S.J. (2018), Lifting the veil: richness measurements fail to detect systematic biodiversity change over three decades. Ecology, 99: 1316-1326. https://doi.org/10.1002/ecy.2213. Here, composition of 10 streams of the Llyn Brianne watershed were used."
larsen_2018a,Llyn Brianne,CI1,1992,Invertebrates,Freshwater,52°80 N, 3°45 0 W,10,ecological_sampling,FALSE,586.5,cm2,sample,hand net dimension given by the authors,0.5865,m2,sample,summed area of samples,300,km2,catchement,area of the Llyn Brianne watershed,"Extracted from data Larsen, S., Chase, J.M., Durance, I. and Ormerod, S.J. (2018), Lifting the veil: richness measurements fail to detect systematic biodiversity change over three decades. Ecology, 99: 1316-1326. https://doi.org/10.1002/ecy.2213. Here, composition of 10 streams of the Llyn Brianne watershed were used."
larsen_2018a,Llyn Brianne,CI1,1993,Invertebrates,Freshwater,52°80 N, 3°45 0 W,10,ecological_sampling,FALSE,586.5,cm2,sample,hand net dimension given by the authors,0.5865,m2,sample,summed area of samples,300,km2,catchement,area of the Llyn Brianne watershed,"Extracted from data Larsen, S., Chase, J.M., Durance, I. and Ormerod, S.J. (2018), Lifting the veil: richness measurements fail to detect systematic biodiversity change over three decades. Ecology, 99: 1316-1326. https://doi.org/10.1002/ecy.2213. Here, composition of 10 streams of the Llyn Brianne watershed were used."
larsen_2018a,Llyn Brianne,CI1,1995,Invertebrates,Freshwater,52°80 N, 3°45 0 W,10,ecological_sampling,FALSE,586.5,cm2,sample,hand net dimension given by the authors,0.5865,m2,sample,summed area of samples,300,km2,catchement,area of the Llyn Brianne watershed,"Extracted from data Larsen, S., Chase, J.M., Durance, I. and Ormerod, S.J. (2018), Lifting the veil: richness measurements fail to detect systematic biodiversity change over three decades. Ecology, 99: 1316-1326. https://doi.org/10.1002/ecy.2213. Here, composition of 10 streams of the Llyn Brianne watershed were used."
larsen_2018a,Llyn Brianne,CI1,1996,Invertebrates,Freshwater,52°80 N, 3°45 0 W,10,ecological_sampling,FALSE,586.5,cm2,sample,hand net dimension given by the authors,0.5865,m2,sample,summed area of samples,300,km2,catchement,area of the Llyn Brianne watershed,"Extracted from data Larsen, S., Chase, J.M., Durance, I. and Ormerod, S.J. (2018), Lifting the veil: richness measurements fail to detect systematic biodiversity change over three decades. Ecology, 99: 1316-1326. https://doi.org/10.1002/ecy.2213. Here, composition of 10 streams of the Llyn Brianne watershed were used."
